product,group names
Other Nitrogen Function Compounds,other
"Aldehyde, Ketone and Quinone-Function Compounds",other
Inorganic Esters,other
Miscellaneous Coloring Products,other
Vitamins,other
Hormones,other
Polymerization and copolymerization products,other
Regenerated cellulose; derivatives of cellulose; vulcanized fibre,other
X-Ray Equipment,other
Medical Instruments,other
Photographic Film,other
Orthopedic Devices,other
Copper Ores,other
Miscellaneous Non-Ferrous Ores,other
Copper,other
Miscellaneous Clay and Refractory Minerals,other
Salt,other
Raw Silk,other
Textile yarn,textile/clothing
Yarn of Regenerated Fibers,textile/clothing
Woven textile fabrics,textile/clothing
Silk Woven Fabrics,textile/clothing
Miscellaneous Woven Fabrics,textile/clothing
Rags,textile/clothing
Elastic Fabrics and Trimming,textile/clothing
Ropes and Cables,other
"Made-up articles, wholly or chiefly of textile materials, nes",textile/clothing
Leather Accessories,other
Headgear,other
Basketwork,other
Oil Seeds Flour,agriculture
Cotton Linters,agriculture
Cocoa Beans,agriculture
Waxes,other
Legumes,agriculture
Crustaceans and Molluscs,other
"Bones, Ivory and Horns",other
Fine Animal Hair,other
Coarse Animal Hair,other
Glues,other
Bovine and Equine Leather,other
Finished Leather,other
Iron Waste,other
Linoleum,other
Asbestos Products,other
Miscellaneous Articles of Glass,other
Gauze and Netting,other
Farming Hand Tools,other
Leather Tanning Machinery,other
Candles and Matches,other
Miscellaneous Manufactured Goods,other
Regenerated Fiber,other
Uncarded Discontinuous Synthetic Fibers,other
Fruit or Vegetable Juices,other
Cigarretes,other
Watches,other
Miscellaneous Hides and Skins,other
"Miscellaneous chemical products, nes",other
Medicinal and pharmaceutical products,other
"Wheat and meslin, unmilled",agriculture
Miscellaneous Animal Origin Materials,other
"Gas, natural and manufactured",fossil fuels
Internal combustion piston engines and parts,automotive
Non-road tractors,other
Plastic or Rubber Clothing,other
Coniferous Wood,other
Improved Wood,other
Flour,agriculture
Miscellaneous Fruit,agriculture
Chocolate,other
Olive Oil,other
"Inorganic chemical elements, oxides and halogen salts",other
Knotted Carpets,other
Essential Oils,other
Nuts,agriculture
Cocoa Butter,agriculture
Apples,agriculture
Grapes and Raisins,agriculture
Wheat Flour,agriculture
Miscellaneous Prepared Meats,other
Eggs,agriculture
Preserved Milk,agriculture
Cheese,agriculture
Worked Building Stone,other
Harvesting Machines,other
Miscellaneous Mineral Working Tools,other
Non-Military Arms,other
Eyewear,other
Inorganic Chemical Products,other
Glycosides and Vaccines,other
Aluminum,other
"Textile yarn, fabrics, made-up articles, nes, and related products",textile/clothing
Wool Yarn,textile/clothing
Transmission Belts,automotive
Unworked Cast Glass,other
Metal Springs,other
Dairy Machinery,other
Civil engineering equipment,other
Special Purpose Trucks and Vans,automotive
Miscellaneous Refractory Goods,other
Refractory Bricks,other
"Non-ferrous base metal waste and scrap, nes",other
Ferro-alloys,other
Iron Shapes,other
Universal plates of iron or steel,other
Zinc,other
Fiberboard,other
Iron Structures,other
Reservoir Tanks,other
Blown Glass,other
Sugar Syrups,other
Cigars,other
Hydrogenated Oils,other
Fatty and Oil Acids,other
Sands,other
Perfumery and Cosmetics,other
Miscellaneous Natural Abrasives,other
"Hydrocarbons, nes, and derivatives",other
Photographic Chemicals,other
Inorganic Bases,other
Unworked Building Stone,other
Miscellaneous Crude Minerals,other
Zinc Ore,other
Rough Iron Castings,other
Flax,agriculture
Flax Fabrics,other
Oilcake,other
Green Groundnuts,agriculture
Oranges,agriculture
Miscellaneous Animal Oils,other
Leather Articles Used in Machinery,other
Worked Nickel,other
"Musical instruments, parts and accessories thereof",other
"Other miscellaneous manufactured articles, nes",other
Steam & other vapour generating boilers & parts,other
"Wood manufactures, nes",other
Printed matter,other
"Vegetables, fresh or simply preserved; roots and tubers",agriculture
"Fruit, preserved, and fruits preparations",agriculture
Sugar and honey,agriculture
Inorganic Acids and Oxygen Compounds,other
Miscellaneous Organic Surfactants,other
Other organic chemicals,other
Iron ore and concentrates,other
"Silver, platinum and other metals of the platinum group",other
"Pearl, precious and semi-precious stones, unworked or worked",other
Synthetic Precious Stones,other
"Seeds and oleaginous fruit, whole or broken, for other fixed oils",agriculture
"Vegetable textile fibres, excluding cotton, jute, and waste",textile/clothing
Manufactured tobacco,other
Coffee and coffee substitutes,agriculture
"live animals used for food, misc",agriculture
Wool and other animal hair (excluding tops),other
Crude animal materials,agriculture
"Crude vegetable materials, nes",agriculture
"Jewellery, gold and other articles of precious metal",other
Miscellaneous Metallurgy Equipment,other
Initiating Devices,other
Abrasive Powder,other
Seamless Iron Tubes,other
Iron and Steel Forging,other
Steam Power Units,other
"Trailers, and other vehicles, not motorized",other
Aircraft and equipment and parts,other
Warships,other
Waste and scrap metal of iron or steel,other
Iron and Steel Powders,other
Fuel Wood and Charcoal,other
Non-Coniferous Sawlogs,other
Simply Shaped Wood,other
Wood Boxes,other
Textile Camping Goods,other
"Floor coverings, etc",other
Baby Carriages,other
Miscellaneous Fermented Beverages,other
Baked Goods,other
Dried Vegetables,agriculture
"Polishes for Floors, Footwear and Metals",other
Glass Fiber Fabrics,other
Coffee Extracts,agriculture
Crude Natural Potassium Salts,other
Mineral Tars,other
Ethers and Acetals,other
Synthetic Tanning Substances,other
Printing Ink,other
"Condensation, polycondensation and polyaddition products",other
Electrical Medical Equipment,electronics
Lime,other
Silver,other
Platinum,other
Worked Lead,other
Footwear Parts,other
"Articles of apparel, clothing accessories, non-textile, headgear",clothing
Fixed vegetable oils and fats,other
Soy Bean Oil,other
Miscellaneous Root and Tuber Vegetables,agriculture
Fat and Oils of Marine Animals,other
Equine,other
"Animal meat, misc",agriculture
Raw Furs,other
Raw Hides of Bovine and Equine,other
Raw Calf Skins,other
Raw Goat Skins,other
Miscellaneous Articles of Leather,other
Waste of Man-Made Fibres,other
Leather Sheets or Rolls,other
Miscellaneous Ceramic Articles,other
Miscellaneous Rail Locomotives,other
Cards and Decals,other
Fuel oils,fossil fuels
Unwrought Tin and Alloys,other
Frozen Vegetables,agriculture
Fruit Jams,other
Temporarily Preserved Fruit,agriculture
Cork Products,other
Malt Extract,agriculture
Fruit Preserved by Sugar,agriculture
Raw Cork,other
Mechanical Wood Pulp,other
Miscellaneous Cellulosic Pulps,other
Casks and Barrels,other
Fiber Cements,other
Miscellaneous Mineral Materials,other
Miscellaneous Beverages,other
Paper Office Containers,other
Stones,other
Flowers,other
Sausage,agriculture
Iron Pipes,other
Rail Freight Transport,other
Ships and Boats,other
Miscellaneous Paper,other
Reclaimed and Scrap Rubber,other
Soaps,other
Depleted Uranium,other
Cane Sugar,agriculture
Tobacco Substitutes,other
Inedible Flours of Meat and Fish,other
Bovine and Equine Entrails,agriculture
Meat and fish extract,other
Carded Animal Hair,other
Saddlery and Harness,other
Postal packages,other
Unworked Surface Ground Cast Glass,other
Prepared Explosives,other
Hay,agriculture
Greasy Wool,other
Plaited Products,other
Industrial Diamonds,other
Miscellaneous Cereal Grains,agriculture
Poultry,agriculture
Miscellaneous Boats and Floating Structures,other
Cork and wood,other
Metal Railway Material,other
Blocks of Iron and Steel,other
Nickel,other
Miscellaneous Unmilled Cereals,agriculture
Manila Hemp,agriculture
Tomatoes,agriculture
Molasses,other
Sheep and goat,agriculture
Swine,agriculture
Lard,other
Tinned Sheets,other
Ceramic Fixtures,other
Kraft Paper,other
Gas oils,fossil fuels
Non-Wheat Cereal Flour,agriculture
Malt,agriculture
"Measuring, checking and analysing instruments",other
Coal and Water Gas,fossil fuels
Tractor Units,automotive
Tools for use in machines or by hand,other
"Non-electric parts and accessories of machinery, nes",other
Parts & accessories of motor vehicles,automotive
"Ingots and other primary forms, of iron or steel",other
"Iron and steel bars, rods, shapes and sections",other
Safety Glass,other
Miscellaneous Indoors Sanitary Ware of Base Metal,other
Public Passenger Vehicles,automotive
Mechanically Propelled Railway,other
Railway Passenger Cars,other
Pressed or Moulded Glass,other
Iron Sheets,other
Rough Coniferous Logs,other
Rough Wood,other
Railroad Ties,other
Electric Current,other
Carpentry Wood,other
Aluminium Structures,other
Chemical Wood Pulp of sulphite,other
Beer,other
Margarine,agriculture
Crude Fertilizer,agriculture
Miscellaneous Fertilizers,agriculture
Hemp,agriculture
Halogen and Non-Metal Sulphur Compounds,other
Hygienic Rubber Articles,other
Coke,other
Aluminum Ore,other
Manganese,other
Precious Metal Ores,other
Crude Petroleum,fossil fuels
Miscellaneous Bituminous Mixtures,other
Metal Waste,other
Lead Ore,other
Tin,other
Worked Tin and Alloys,other
Unbleached Cotton Woven Fabrics,textile/clothing
Unmilled Barley,agriculture
Oil seeds and oleaginous fruit,agriculture
Soy Beans,agriculture
Linseed Oil,other
Castor Oil,other
Cotton Seeds,agriculture
Jute,other
Cotton Seed Oil,other
Bananas,agriculture
Copra,agriculture
Palm Oil,other
Coconut Oil,other
Miscellaneous Citrus,agriculture
Unmilled Oats,agriculture
Potatoes,agriculture
Bovine meat,agriculture
Pig Meat,agriculture
Poultry meat,agriculture
Horse Meat,agriculture
Preserved meat,agriculture
Milk,agriculture
Unmilled Rye,agriculture
Raw Sheep Skin with Wool,agriculture
Waste Paper,other
"Coal, lignite and peat",fossil fuels
Mineral Wool,other
Barbed Wire,other
Non-Gold Coin,other
Other articles of rubber,other
"Metalworking machinery (other than machine-tools), and parts, nes",other
"Manufactures of base metal, nes",other
Glass,other
"Office and stationary supplies, nes",other
Other artificial resins and plastic materials,other
"Clothing accessories, of textile fabrics, nes",textile/clothing
Rice,agriculture
Leather,other
Optical Glass,other
Linseed,agriculture
Matê©,other
"Universals, plates, and sheets, of iron or steel",other
"Tube, pipes and fittings, of iron or steel",other
"Soap, cleansing and polishing preparations",other
Worm Cocoons,other
Calf leather,other
Iron Coils,other
Radioactive Chemicals,other
"Steam engines, turbines",other
Other electrical machinery,other
Metal containers for storage and transport,other
"Mineral manufactures, nes",other
Feed for animals,other
"Cotton fabrics, woven (not including narrow or special fabrics)",textile/clothing
"Manufactures of leather or of composition leather, nes; etc",other
"Sanitary, plumbing, heating, lighting fixtures and fittings, nes",other
"Agricultural machinery (excluding tractors) and parts thereof, nes",other
Railway vehicles and associated equipment,other
"Fertilizers, manufactured",other
"Ships, boats and floating structures",other
"Pig and sponge iron, spiegeleisen, etc, and ferro-alloys",other
"Structures and parts, nes, of iron, steel or aluminium",other
Miscellaneous Animal Entrails,agriculture
"Vegetables, roots and tubers",agriculture
"Synthetic rubber, latex; waste, scrap of unhardened rubber",other
Other inorganic chemicals; compounds of precious metals,other
"Coal, coke and briquettes",fossil fuels
Sulphur and unroasted iron pyrites,other
Other crude minerals,other
"Cereal, flour or starch preparations of fruits or vegetables",other
"Other fixed vegetable oils, fluid or solid, crude, refined",other
Unsweetened Cocoa Powder,agriculture
Preserved fish,other
Live animals chiefly for food,agriculture
Meat,agriculture
Iron Billets,other
Ships for Disposal,other
"Iron, steel casting, forging and stamping, in the rough state, nes",other
"Baby carriages, toys, games and sporting goods",other
Wheelchairs,other
Pulpwood,other
Other wood in the rough or roughly squared,other
Miscellaneous Textile Articles,other
Palm Kernel Oil,other
Miscellaneous Articles of Iron,other
"Other man-made fibres suitable for spinning, and waste",other
Paper and paperboard,other
Bran and Other Cereals Residues,other
Processed Animal and Vegetable Oils,other
Non-electric engines and motors,other
Miscellaneous Radioactive Materials,other
Unroasted Iron Pyrites,other
High-pressure hydro-electric conduits of steel,other
Central Heating Equipment,other
Sheep and Goat Meat,agriculture
"Stone, sand and gravel",other
"Essential oils, perfume and flavour materials",other
"Cereals, unmilled",agriculture
Electric Trains,other
Pulp and waste paper,other
Ores and concentrates of base metals,other
Milk and cream,agriculture
Lead,other
Natural Sodium Nitrate,other
Peanut Oil,other
Castor Oil Seeds,other
"Dyeing and tanning extracts, and synthetic tanning materials",other
Explosives and pyrotechnic products,other
Miscellaneous Vegetable Oils,other
Raw Sheep Skin without Wool,other
Watches and clocks,other
Nickel Ores,other
Radioactive and associated material,other
Nuclear Reactors,other
Solid Fuels,other
Palm Nuts and Kernels,agriculture
Wire products (excluding insulated electrical wire); fencing grills,other
Interchangeable Tool Parts,other
Miscellaneous Rotating Electric Plant Parts,other
Miscellaneous Machinery,other
Textile and leather machinery,other
Printing Machine Parts,other
Miscellaneous Food-Processing Machinery,other
Machinery for Specialized Industries,other
Tool Holders,other
Industrial Furnaces and Ovens,other
Miscellaneous Heating and Cooling Equipment,other
"Pumps for liquids; liquid elevators; and parts thereof, nes",other
Filtering and Purifying Machinery,other
Factory Trucks,automotive
Valves,other
Pulley System Parts,other
Electric Heating Devices,other
Road vehicles,automotive
Other transport equipment,other
Railway or tramway freight and maintenance cars,automotive
Non-Electrical Counting Devices,other
Analog Navigation Devices,other
Control Instruments of Gas or Liquid,other
Measuring Instrument Parts,other
Air Conditioners,other
"Parts, nes of and accessories for machines of headings 751 or 752",other
Video and Sound Recorders,electronics
Telephone Line,other
Audio Amplifiers,electronics
TV and Radio Transmitters,electronics
Telecom Parts and Accessories,electronics
Miscellaneous Power Machinery,other
Printed Circuits,other
Electrical Resistors,electronics
Electronic Valves and Tubes,other
"Diodes, Transistors and Photocells",other
Miscellaneous Electronic Circuit Parts,electronics
Aircraft Parts and Accessories,other
Electrical Transformers,electronics
"Manufactures of metals, nes",other
Miscellaneous Articles of Paper,other
Household Refrigeration,other
Medical Furniture,other
Miscellaneous Domestic Articles of Base Metals,other
Plastic Ornaments,other
Plastic Storage Containers,other
Miscellaneous Articles of Plastic,other
Organic chemicals,other
Cyclic Hydrocarbons,other
Halogenated Hydrocarbons,other
Organo-Sulphur Compounds,other
Heterocyclic Compounds,other
"Artificial resins and plastic materials, and cellulose esters etc",other
Mathematical Calculation Instruments,other
Analog Instruments for Physical Analysis,other
Miscellaneous Electrical Instruments,electronics
Mineral Tar Pitch,other
Unwrought Base Metals,other
Ash and Residues,other
Miscellaneous Non-Iron Waste,other
Non-retail Synthetic Yarn,textile/clothing
Woven Fabrics of More Than 85% Discontinuous Synthetic Fiber,textile/clothing
Wool Carpets,other
Men's Coats,textile/clothing
Miscellaneous Men's Outerwear,textile/clothing
"Womens, girls, infants outerwear, textile, not knitted or crocheted",textile/clothing
Women's Coats,textile/clothing
Dresses,textile/clothing
Skirts,textile/clothing
Blouses,textile/clothing
Miscellaneous Feminine Outerwear,textile/clothing
"Under garments of textile fabrics, not knitted or crocheted",textile/clothing
Men's Shirts,textile/clothing
Women's Underwear,textile/clothing
"Articles of apparel, of textile fabrics, whether or not knitted or crocheted",textile/clothing
Knitted Outerwear,textile/clothing
Women's Knitted Outerwear,textile/clothing
Miscellaneous Knitted Outerwear,textile/clothing
"Under-garments, knitted or crocheted",textile/clothing
Synthetic Knitted Undergarments,textile/clothing
Lingerie,textile/clothing
Miscellaneous Wheat,agriculture
Sesame Seeds,agriculture
Unstripped Tobacco,agriculture
Stripped Tobacco,agriculture
Fresh Fish,other
Frozen Fish,other
Fish fillets,other
Miscellaneous Fish,other
"Crustaceans and molluscs, misc",other
Leather of Miscellaneous Animal Hides,other
Polyurethanes,other
Starches,other
Bonded Fiber Fabrics,other
Paper Making Machine Parts,other
Parts of Metalworking Machine Tools,other
Furnaces,other
Miscellaneous Pumps,other
Pneumatic Power Hand Tools,other
Circuit Breakers and Panels,electronics
Miscellaneous Stereo Equipment,electronics
Miscellaneous Telecom Equipment,electronics
Acyclic Hydrocarbons,other
Synthetic Woven Fabrics,textile/clothing
Blankets,other
Women's Suits,textile/clothing
Fur Clothing,other
Miscellaneous Articles of Precious Metals,other
Computer Parts and Accessories,electronics
Electronic Microcircuits,electronics
Plywood,other
Oxygen-Function Acids,other
Oxygen-Function Amino-Compounds,other
Retail Yarn of More Than 85% Synthetic Fiber,textile/clothing
Men's Jackets,textile/clothing
Cotton Undergarments,textile/clothing
Sunflower Seeds,agriculture
"Eggs, in shell",agriculture
Car Tires,automotive
Internal Combustion Engines for Boats,other
Tractors,other
Centrifuges,other
Non-Mechanically Propelled Vehicles,other
Washing Machines,other
Large Transport Vehicle Tires,automotive
Miscellaneous Tire Parts,automotive
Felt,other
Acrylic Polymers,other
Petroleum Gases,fossil fuels
"Unwrought Tungsten, Molybdenum, Tantalum and Magnesium",other
Miscellaneous Oil Seeds and Fruits,agriculture
Fixed Vegetable Oils,other
Tobacco Refuse,other
Miscellaneous Base Metal Manufactures,other
Office machines,other
Roasted Iron Pyrites,other
"Lime, cement, and fabricated construction materials",other
"Rotating electric plant and parts thereof, nes",other
"Articles, nes of plastic materials",other
Polymerization Ion Exchangers,other
Coated Paper,other
Power generating machinery and equipment,other
Motor Vehicles Piston Engines,automotive
Miscellaneous Combustion Engines,other
Piston Engine Parts,automotive
DC Motors,other
Electric Motors and AC Generators,other
Rotary Converters,other
Track Laying Tractors,other
Road Rollers,other
Construction Machinery,other
Yarn Preparing Machines,other
Auxiliary Weaving Machinery,other
Miscellaneous Textile Machinery,other
Cellulose Pulp Making Machines,other
Paper Making Machines,other
Type Setting Machines,other
Printing Presses,other
Miscellaneous Printing Machines,other
Bookbinding Machines,other
"Other machinery, equipment, for specialized industries; parts nes",other
Metal Cutting Machines,other
Metal Forming Machine Tool,other
Miscellaneous Metalworking Machine-Tools,other
Rolling Mills,other
Miscellaneous Metalworking Machinery,other
Centrifugal Pumps,other
Rotary Pumps,other
Miscellaneous Liquid Pump Parts,other
Air Pumps and Compressors,other
Miscellaneous Pump Parts,other
Fans and Blowers,other
Lifting and Loading Machinery,other
Miscellaneous Parts of Lifting Machinery,other
Vehicles Parts and Accessories,automotive
Reciprocating Pumps,other
Analog Computers,electronics
Personal Computers,electronics
CPUs,electronics
Parts of Office Machines,other
Recorded Audio Players,electronics
Dishwashers,other
Shavers and Hair Clippers,electronics
Home Electrical Appliances,electronics
TV Tubes and Cathode Rays,electronics
"Photographic apparatus and equipment, nes",other
Aircraft Tires,other
Miscellaneous Gas Turbines,other
Parts of Gas Turbines and Reaction Engines,other
Steam Water Boilers,other
Condensers,other
Miscellaneous Boiler Parts,other
Aminoplasts,other
Tissue Paper,other
Miscellaneous Refrigeration Equipment,other
Transportation Containers,other
Derivatives of Rubber,other
Polyethylene,other
Polypropylene,other
Polyvinyl Chloride,other
Varnishes and Lacquers,other
Oils and perfume materials; toilet and cleansing preparations,other
Phenoplasts,other
Non-Halogenated Hydrocarbons Derivatives,other
Insecticides,other
Fungicides,other
Herbicides,other
Disinfectants,other
"Alcohols, phenols etc, and their derivatives",other
Cyclic Alcohols,other
Phenols,other
Polycaboxylic Acids,other
Nitrogen-function compounds,other
Amine-Function Compounds,other
Amide Function Compounds,other
"Sulphonamides, Sultones and Sultams",other
Precious Metals Compounds,other
Dye,other
Synthetic Organic Luminophores,other
Scented Mixtures,other
Polyamides,other
Silicones,other
Miscellaneous Condensation Products,other
Copolymers of Vinyl Chloride and Vinyl Acetate,other
Miscellaneous Polymerization Products,other
Cellulose Derivates,other
Anti-Corrosive Chemicals,other
Organic Chemical Products,other
Anthracite,other
Coal,fossil fuels
Lignite,other
Gold,other
Medium oils,other
Liquified Petroleum Gases,fossil fuels
Continuous Synthetic Fibres,other
Carded Discontinuous Synthetic Fibres,other
Yarn of Less Than 85% Synthetic Fibers,other
Yarn of Regenerated Fibres,other
Woven Fabric of less than 85% Discontinuous Synthetic Fibres,other
Continuous Regenerated Woven Fabrics,textile/clothing
Pile and Chenille Fabrics,other
Miscellaneous Carpets,other
Articles of apparel and clothing accessories,textile/clothing
Men's Suits,textile/clothing
Men's Pants,textile/clothing
Men's Underwear,textile/clothing
Undergarments of Other Fibres,textile/clothing
Figs,agriculture
"Eggs, Shelled",agriculture
Sheep and Lamb Leather,other
Polyesters,other
Polystyrene,other
Miscellaneous Man Made Carpets,other
Photographic and cinematographic supplies,other
"Motorcycles, scooters and motorized wheelchairs",other
Miscellaneous Centrifuge and Filtering Machinery,other
Wood Panels,other
Knitted Synthetic Fibres,textile/clothing
Natural Knitted Fibric,textile/clothing
Color TVs,electronics
Chairs and Couches,other
Epoxide Resins,other
Woven Frabrics of More Than 85% Wool,textile/clothing
Miscellaneous Wool Woven Fabrics,textile/clothing
Sunflower Seed Oil,other
Alcoholic beverages,other
Uranium and Thorium,other
"Pigments, paints, varnishes and related materials",other
Vehicles Stereos,electronics
Bike Tires,other
Wool Undergarments,textile/clothing
Tea and mate,other
"Fixed vegetable oils, soft, crude refined or purified",other
Miscellaneous Parts of Steam Power Units,other
Thick Iron Sheets,other
Organo-inorganic and heterocyclic compounds,other
Fabrics of more than 85% discontinuous regenerated fibres,other
Black and White TV,electronics
Computer Peripherals,electronics
Portable Stereos,electronics
Miscellaneous Furniture,other
Polyvinyl Acetate,other
Regenerated Cellulose,other
Miscellaneous Data Processing Equipment,other
Plastic Sanitary Articles,other
Cellulose Nitrates,other
Plastic Lamps,other
Cellulose Acetates,other
Reaction Engines,other
Free-piston generators for gas turbines and parts,other
Iron Ore,other
Hand Woven Rugs,other
Helicopters,other
Durum Wheat,agriculture
Fabrics of less than 85% continuous regenerated fibres,textile/clothing
Elastic Knitted Fibres,other
Rape Seeds,agriculture
Frozen Fish Fillets,other
Ion exchangers of condensation,other
Peat,other
Iron Ore Agglomerates,other
Aircraft,other
Small Aircraft,other
Large Aircraft,other
